rss,vsz
6062140,11780936
6062420,11780936
6061508,11780936
6061460,11780936
6060532,11780936
6060532,11780936
6060532,11780936
6060532,11780936
6060532,11780936
6060532,11780936
6060532,11780936
6059564,11780936
6059564,11780936
6059564,11780936
6059564,11780936
6059564,11780936
6059532,11780936
6058556,11780936
6058556,11780936
6058556,11780936
6058568,11780936
6057584,11780936
6057584,11780936
6057584,11780936
6057584,11780936
6056624,11780936
6056624,11780936
6056624,11780936
6056624,11780936
6056624,11780936
6056624,11780936
6055656,11780936
6055656,11780936
6055656,11780936
6055616,11780936
6055584,11780936
6055584,11780936
6060232,11780936
6061108,11780936
6060484,11780936
6060484,11780936
6060484,11780936
6060744,11780936
6060744,11780936
6059880,11780936
6059880,11780936
6059880,11780936
6059880,11780936
6059880,11780936
6059880,11780936
6058880,11780936
6058880,11780936
6059060,11780936
6059160,11780936
6059160,11780936
6059052,11780936
6058588,11780936
6058508,11780936
6058388,11780936
6058292,11780936
6058336,11780936
6058104,11780936
6058144,11780936
6058144,11780936
6057952,11780936
6057988,11780936
6057988,11780936
6057532,11780936
6057840,11780936
6057888,11780936
6058200,11780936
6057952,11780936
6058396,11780936
6058064,11780936
6057756,11780936
6057756,11780936
6057756,11780936
6057756,11780936
6057504,11780936
6057504,11780936
6057504,11780936
6057040,11780936
6057040,11780936
6057040,11780936
6056600,11780936
6057528,11780936
6057316,11780936
6058388,11780936
6058388,11780936
6058056,11780936
6058404,11780936
6057968,11780936
6057332,11780936
6057332,11780936
6057332,11780936
6057332,11780936
6056680,11780936
6056680,11780936
6056680,11780936
6056680,11780936
6056680,11780936
6056040,11780936
6056040,11780936
6056112,11780936
6055452,11780936
6055428,11780936
6055528,11780936
6055628,11780936
6055308,11780936
6055308,11780936
6055308,11780936
6055308,11780936
6055308,11780936
6054640,11780936
6054640,11780936
6054640,11780936
6054640,11780936
6054068,11780936
6054068,11780936
6054068,11780936
6054056,11780936
6053368,11780936
6053368,11780936
6053396,11780936
6052636,11780936
6052668,11780936
6051936,11780936
6051936,11780936
6051936,11780936
6051936,11780936
6051936,11780936
6051228,11780936
6051228,11780936
6051228,11780936
6051228,11780936
6050516,11780936
6050516,11780936
6050516,11780936
6050516,11780936
6049724,11780936
6049724,11780936
6049724,11780936
6056960,11780936
6057572,11780936
6056960,11780936
6056960,11780936
6057480,11780936
6057480,11780936
6057480,11780936
6056860,11780936
6056860,11780936
6056860,11780936
6056860,11780936
6056100,11780936
6056100,11780936
6056100,11780936
6056100,11780936
6055256,11780936
6055256,11780936
6055628,11780936
6055028,11780936
6055028,11780936
6055028,11780936
6055028,11780936
6054244,11780936
6054244,11780936
6054244,11780936
6054244,11780936
6054244,11780936
6053460,11780936
6053460,11780936
6053460,11780936
6053460,11780936
6053460,11780936
6052652,11780936
6052620,11780936
6052632,11780936
6051936,11780936
6051908,11780936
6051092,11780936
6051092,11780936
6051092,11780936
6051092,11780936
6051092,11780936
6051092,11780936
6050276,11780936
6050276,11780936
6050276,11780936
6050276,11780936
6049444,11780936
6049444,11780936
6049412,11780936
6049412,11780936
6049372,11780936
6048468,11780936
6047624,11780936
6047624,11780936
6047624,11780936
6047624,11780936
