rss,vsz
11024388,21882484
11034476,21882484
11065160,21882484
11080588,21882484
11112732,21882484
11144500,21882484
11206460,21882484
11276612,21964404
11328328,21964404
11358892,21964404
11365244,21964404
11375892,21964404
11387736,21964404
11392040,22029940
11398692,22029940
11401240,22029940
11407856,22029940
11411896,22029940
11417236,22029940
11426476,22029940
11431864,22029940
11441912,22029940
11466316,22029940
11508080,22029940
11545560,22079092
10811344,22079092
10859996,22079092
10860732,22079092
10877164,22079092
10904476,22079092
10921540,22079092
10938992,22079092
10964640,22079092
10995168,22079092
11022608,22079092
11029548,22079092
11039652,22079092
11055708,22079092
11084804,22079092
11105296,22079092
11126436,22079092
11169720,22079092
11200240,22079092
11279296,22079092
11291916,22128244
11294696,22128244
11315680,22128244
11323708,22128244
11346992,22128244
11347256,22128244
11348016,22128244
11349956,22128244
11353940,22128244
11356012,22128244
11365324,22128244
11381824,22128244
11404892,22128244
11431532,22128244
11451792,22128244
11477008,22128244
11522832,22185588
11553536,22185588
11555060,22185588
11583756,22185588
11605744,22185588
11625896,22185588
11645916,22185588
11647908,22185588
11648060,22185588
11648008,22185588
11573964,22185588
10588672,22185588
10622512,22185588
10666812,22185588
10695796,22185588
10747280,22185588
10800700,22185588
10867120,22185588
10955084,22185588
10989840,22185588
10989784,22185588
10989932,22185588
11011056,22185588
11038172,22185588
11074948,22185588
11085560,22185588
11097856,22185588
11106868,22185588
11112060,22185588
11129412,22185588
11136336,22185588
11147720,22185588
11161316,22185588
11182424,22185588
11212544,22185588
11277828,22185588
11365532,22185588
11384976,22283892
11389276,22283892
11398404,22283892
11410348,22283892
11428932,22283892
11437188,22283892
11437660,22283892
11442756,22283892
11456304,22283892
11472428,22283892
11494532,22283892
11501288,22283892
11530172,22316660
11571504,22316660
11631904,22374004
11694344,22374004
11752772,22431348
11778484,22431348
11779200,22431348
10464928,22431348
10493308,22431348
10540328,22431348
10605132,22431348
10623940,22431348
10638372,22431348
10657696,22431348
10670476,22431348
10684456,22431348
10710704,22431348
10745972,22431348
10788288,22472308
10846396,22472308
10931804,22472308
10978244,22472308
10997228,22472308
10997172,22472308
11021688,22472308
11031068,22472308
11033060,22472308
11044324,22472308
11049516,22472308
11056260,22472308
11069816,22472308
11090748,22472308
11093588,22472308
11100624,22472308
11108108,22472308
11124804,22472308
11167700,22472308
11229752,22472308
11308876,22472308
11371868,22472308
11372604,22472308
11373840,22472308
11384992,22513268
11395440,22513268
11414584,22513268
11420676,22513268
11434932,22513268
11445384,22562420
11458704,22562420
11477196,22562420
11482864,22562420
11497976,22562420
11527552,22562420
11551860,22644340
10560792,22644340
10641952,22644340
10722336,22644340
10729956,22644340
10769300,22644340
10796852,22644340
10817044,22644340
10842136,22644340
10867564,22644340
10882328,22644340
10899808,22709876
10915268,22709876
10940220,22709876
10974396,22709876
10978912,22709876
10997776,22709876
11039724,22709876
11083988,22709876
11133812,22709876
11209588,22709876
11284692,22709876
11290752,22709876
11294792,22709876
11305660,22709876
11307884,22709876
11318384,22709876
11326856,22709876
11336536,22709876
11350956,22709876
11357116,22709876
11366484,22709876
11379692,22709876
11398676,22709876
11428788,22709876
11491544,22709876
11553176,22709876
11597760,22709876
11640320,22709876
11667408,22709876
11679900,22709876
11696180,22709876
11696828,22709876
11699608,22709876
11704760,22709876
11705256,22709876
11705452,22709876
11707460,22709876
10309144,22709876
10335652,22709876
10367072,22709876
10382452,22709876
10408388,22709876
10491168,22709876
10554588,22709876
10634232,22709876
10706396,22709876
10730892,22709876
10762024,22709876
10800872,22709876
10829096,22709876
10857100,22709876
10865832,22709876
10873740,22709876
10880576,22709876
10886916,22709876
10911404,22824564
10920696,22824564
10950040,22824564
10969836,22824564
11001004,22824564
11049260,22824564
11116584,22824564
11173792,22873716
11191740,22873716
11192192,22873716
11204180,22873716
11217364,22873716
11239136,22873716
11239896,22873716
11239868,22873716
11242332,22873716
11244816,22873716
11264112,22873716
11270780,22873716
11284176,22922868
11308484,22922868
11335252,22922868
11375248,22922868
11424528,22922868
11468976,22922868
11483852,22922868
11484056,22922868
10828724,22922868
10874228,22922868
10904140,22922868
10963104,22955636
10986584,22955636
11000388,22955636
11007168,22955636
11016004,22955636
11030656,22955636
11055932,22955636
11092548,22955636
11126032,22955636
11175064,22955636
11236516,22955636
11273916,22955636
11337368,22955636
11337572,22955636
11338248,22955636
11342756,22955636
11356360,22955636
11379208,22955636
11416144,22955636
11430660,22955636
11445132,22955636
11457976,22955636
11470308,22955636
11495104,22955636
11515416,22955636
11547240,22955636
11582632,22955636
11632668,22955636
11698988,22955636
11774792,22955636
11788456,22955636
11789716,22955636
11792240,22955636
11792948,22955636
11808976,22955636
11810240,22955636
11823000,22955636
11831624,22996596
11842020,22996596
11864764,22996596
11873484,22996596
11880516,22996596
11883116,22996596
11925492,23127668
10909080,23127668
10979684,23127668
11079232,23127668
11094888,23127668
11101428,23127668
11107552,23127668
11126284,23127668
11133268,23127668
11161500,23127668
11171024,23127668
11177556,23225972
11182444,23225972
11196568,23225972
11214972,23225972
11226908,23225972
11259960,23225972
11304412,23258740
11339312,23258740
11377416,23258740
11466304,23316084
11501112,23316084
11509248,23316084
11517880,23316084
11526456,23316084
11541072,23316084
11555724,23316084
11561360,23316084
11561248,23316084
11569700,23316084
11579948,23316084
11591244,23316084
11601332,23316084
11622336,23316084
11650804,23316084
11694244,23316084
11718696,23316084
11766336,23373428
11811588,23406196
11816124,23406196
11826320,23406196
11843624,23406196
11858196,23406196
11879548,23406196
11895440,23406196
11906148,23406196
11918204,23406196
10981560,23406196
11003268,23447156
11007628,23447156
11020312,23447156
11048816,23447156
11093108,23447156
11157004,23447156
11216196,23447156
11276904,23545460
11277268,23545460
11293504,23545460
11330572,23545460
11350276,23545460
11370008,23545460
11384368,23545460
11396428,23545460
11407120,23545460
11419132,23545460
11436200,23545460
11446812,23545460
11470772,23545460
11496068,23545460
11525860,23545460
11543064,23545460
11564916,23545460
11610412,23545460
11645056,23545460
11653448,23545460
11672620,23545460
11686924,23545460
11697376,23545460
11711296,23545460
11715936,23545460
11726404,23545460
11737956,23545460
11742580,23545460
11762060,23545460
11772856,23545460
11787404,23545460
11820488,23545460
11864212,23545460
11909612,23545460
11979600,23545460
12053388,23545460
12053548,23545460
12053988,23545460
11458248,23545460
11101488,23545460
11130756,23545460
11159012,23545460
11193212,23545460
11208844,23545460
11220612,23545460
11228904,23545460
11241096,23545460
11265464,23660148
11285820,23660148
11322064,23660148
11392896,23660148
11433636,23660148
11539932,23660148
11555036,23660148
11570916,23660148
11591380,23660148
11613768,23660148
11634404,23660148
11637712,23660148
11650728,23660148
11668928,23660148
11684224,23660148
11695656,23660148
11705032,23660148
11721520,23660148
11750676,23660148
11802840,23660148
11858228,23709300
11902976,23709300
11964528,23709300
11973552,23709300
11973496,23709300
11981132,23709300
12000020,23709300
12017428,23709300
12038408,23709300
12045628,23709300
12046864,23709300
12048064,23709300
12048272,23709300
12051372,23709300
12060092,23709300
12075080,23709300
12117532,23709300
11205100,23709300
11261072,23709300
11316192,23709300
11376156,23709300
11389080,23709300
11399052,23709300
11415104,23709300
11421660,23709300
11428776,23709300
11436888,23709300
11443292,23709300
11445516,23709300
11445488,23709300
11447400,23709300
11453804,23709300
